src,dst,peak,off_peak,senior_disabled,miles
81,73,2.0,2.0,1.0,0.75
81,25,2.0,2.0,1.0,1.23
81,36,2.0,2.0,1.0,2.4
81,49,2.05,2.0,1.0,3.1
81,43,2.3,2.2,1.15,3.73
81,42,2.7,2.4,1.35,4.7
81,82,3.0,2.6,1.5,5.46
81,4,3.65,3.0,1.8,7.14
81,45,4.05,3.2,2.0,8.15
81,35,4.95,3.65,2.45,10.34
81,21,5.5,3.85,2.75,11.72
81,5,5.9,3.85,2.95,12.81
81,62,6.0,3.85,3.0,14.77
81,17,6.0,3.85,3.0,17.44
81,63,2.0,2.0,1.0,0.29
81,50,2.0,2.0,1.0,0.64
81,100,2.0,2.0,1.0,1.21
81,20,2.0,2.0,1.0,2.69
81,12,2.2,2.1,1.1,3.46
81,101,2.6,2.4,1.3,4.55
81,97,3.3,2.6,1.65,6.24
81,9,3.8,3.05,1.9,7.54
81,86,4.45,3.4,2.2,9.14
81,54,5.1,3.75,2.55,10.74
81,22,5.8,3.85,2.9,12.46
81,83,2.0,2.0,1.0,1.72
81,59,2.0,2.0,1.0,0.41
81,72,2.0,2.0,1.0,0.77
81,95,2.0,2.0,1.0,1.28
81,32,2.0,2.0,1.0,2.5
81,77,2.0,2.0,1.0,2.87
81,10,2.0,2.0,1.0,2.97
81,40,2.2,2.15,1.1,3.56
81,68,2.35,2.25,1.15,3.93
81,57,2.5,2.3,1.25,4.29
81,33,3.1,2.6,1.55,5.8
81,80,3.7,3.0,1.85,7.2
81,65,3.95,3.15,1.95,7.82
81,34,4.2,3.25,2.1,8.46
81,13,4.4,3.4,2.2,8.98
81,23,2.0,2.0,1.0,0.3
81,93,2.0,2.0,1.0,0.67
81,60,2.0,2.0,1.0,1.07
81,11,2.0,2.0,1.0,1.31
81,66,2.0,2.0,1.0,1.81
81,70,2.0,2.0,1.0,2.28
81,56,2.0,2.0,1.0,2.89
81,1,2.15,2.1,1.05,3.39
81,53,2.9,2.55,1.45,5.21
81,67,3.2,2.6,1.6,5.98
81,96,3.65,2.95,1.8,7.11
81,26,4.35,3.35,2.15,8.84
81,38,4.9,3.65,2.45,10.22
81,78,2.0,2.0,1.0,0.75
81,15,2.0,2.0,1.0,1.21
81,46,2.0,2.0,1.0,1.55
81,2,2.0,2.0,1.0,2.37
81,91,2.05,2.05,1.0,3.15
81,47,2.6,2.4,1.3,4.55
81,52,3.25,2.6,1.6,6.1
81,39,3.7,3.0,1.85,7.22
81,88,4.4,3.4,2.2,9.04
81,79,5.35,3.85,2.65,11.43
81,24,2.0,2.0,1.0,0.29
81,41,2.0,2.0,1.0,0.56
81,18,2.0,2.0,1.0,1.07
81,48,2.0,2.0,1.0,1.78
81,16,2.0,2.0,1.0,2.26
81,58,2.15,2.1,1.05,3.37
81,7,2.65,2.4,1.3,4.64
81,55,3.0,2.6,1.5,5.49
81,94,3.3,2.6,1.65,6.21
81,37,3.85,3.05,1.9,7.57
81,87,4.5,3.4,2.25,9.26
81,89,3.05,2.6,1.5,5.66
81,27,3.65,2.95,1.8,7.12
81,14,4.05,3.2,2.0,8.1
81,71,4.6,3.4,2.3,9.56
81,3,5.15,3.8,2.55,10.86
81,31,5.15,3.8,2.55,10.83
81,102,6.0,3.85,3.0,14.14
81,75,2.2,2.1,1.1,3.51
81,30,2.4,2.25,1.2,4.0
81,92,2.6,2.35,1.3,4.46
81,85,2.8,2.5,1.4,5.02
81,99,3.75,3.05,1.85,7.41
81,98,4.5,3.4,2.25,9.29
81,6,5.4,3.85,2.7,11.53
81,19,6.0,3.85,3.0,14.01
81,76,5.3,3.85,2.65,11.24
81,51,5.55,3.85,2.75,11.84
81,61,5.8,3.85,2.9,12.55
81,69,6.0,3.85,3.0,13.14
81,8,6.0,3.85,3.0,18.79
81,74,6.0,3.85,3.0,19.91
81,28,6.0,3.85,3.0,21.25
81,29,6.0,3.85,3.0,22.96
81,84,6.0,3.85,3.0,24.84
81,90,6.0,3.85,3.0,26.88
81,44,6.0,3.85,3.0,28.78
73,81,2.0,2.0,1.0,0.75
73,25,2.0,2.0,1.0,0.51
73,36,2.0,2.0,1.0,1.7
73,49,2.0,2.0,1.0,2.41
73,43,2.0,2.0,1.0,3.04
73,42,2.4,2.25,1.2,3.99
73,82,2.7,2.45,1.35,4.76
73,4,3.4,2.6,1.7,6.45
73,45,3.8,3.05,1.9,7.47
73,35,4.65,3.4,2.3,9.67
73,21,5.2,3.8,2.6,11.05
73,5,5.65,3.85,2.8,12.14
73,62,6.0,3.85,3.0,14.1
73,17,6.0,3.85,3.0,16.76
