code,name,station_id,lat,lon
C02,McPherson Square,1,38.901316,-77.033652
A10,Medical Center,2,38.999947,-77.097253
N04,Spring Hill,3,38.929273,-77.241988
C01,Metro Center,4,38.898303,-77.028099
D10,Deanwood,5,38.907734,-76.936177
A04,Woodley Park-Zoo/Adams Morgan,6,38.924999,-77.052648
D01,Federal Triangle,7,38.893757,-77.028218
K02,Clarendon,8,38.886373,-77.096963
A09,Bethesda,9,38.984282,-77.094431
A14,Rockville,10,39.084215,-77.146424
J03,Franconia-Springfield,11,38.766129,-77.168797
B10,Wheaton,12,39.038558,-77.051098
K06,West Falls Church,13,38.90067,-77.189394
D06,Eastern Market,14,38.884124,-76.995334
C07,Pentagon,15,38.869349,-77.054013
F07,Congress Heights,16,38.845334,-76.98817
G03,Addison Road-Seat Pleasant,17,38.886713,-76.893592
B11,Glenmont,18,39.061713,-77.05341
E03,U Street/African-Amer Civil War Memorial/Cardozo,19,38.916489,-77.028938
N09,Innovation Center,20,38.960758,-77.415295
B07,Takoma,21,38.975532,-77.017834
B03,Union Station,22,38.897723,-77.006745
B35,NoMa-Gallaudet U,23,38.907407,-77.002961
C03,Farragut West,24,38.901311,-77.03981
A08,Friendship Heights,25,38.960744,-77.085969
D05,Capitol South,26,38.884968,-77.005137
A02,Farragut North,27,38.903192,-77.039766
C14,Eisenhower Avenue,28,38.800313,-77.071173
F01,Gallery Pl-Chinatown,29,38.89834,-77.021851
E05,Georgia Ave-Petworth,30,38.936077,-77.024728
F03,L'Enfant Plaza,31,38.884775,-77.021964
C05,Rosslyn,32,38.896595,-77.07146
N08,Herndon,33,38.952821,-77.385178
D12,Landover,34,38.934411,-76.890988
C10,Ronald Reagan Washington National Airport,35,38.852985,-77.043805
N03,Greensboro,36,38.919749,-77.235192
C12,Braddock Road,37,38.814009,-77.053763
E09,College Park-U of Md,38,38.978523,-76.928432
F11,Branch Ave,39,38.826995,-76.912134
K07,Dunn Loring-Merrifield,40,38.883015,-77.228939
C04,Foggy Bottom-GWU,41,38.900599,-77.050273
E01,Mt Vernon Sq 7th St-Convention Center,42,38.905604,-77.022256
B06,Fort Totten,43,38.951777,-77.002174
K01,Court House,44,38.891499,-77.08391
N10,Washington Dulles International Airport,45,38.955784,-77.448148
N07,Reston Town Center,46,38.952768,-77.360185
A13,Twinbrook,47,39.062359,-77.121113
B09,Forest Glen,48,39.015413,-77.042953
K04,Ballston-MU,49,38.882071,-77.111845
E08,Hyattsville Crossing,50,38.965276,-76.956182
G05,Downtown Largo,51,38.9008,-76.8449
J02,Van Dorn Street,52,38.799193,-77.129407
K08,Vienna/Fairfax-GMU,53,38.877693,-77.271562
B02,Judiciary Square,54,38.896084,-77.016643
F05,Navy Yard-Ballpark,55,38.876588,-77.005086
N12,Ashburn,56,39.005283,-77.491537
A12,North Bethesda,57,39.048043,-77.113131
E02,Shaw-Howard U,58,38.912919,-77.022194
A05,Cleveland Park,59,38.934703,-77.058226
E07,West Hyattsville,60,38.954931,-76.969881
F08,Southern Avenue,61,38.840974,-76.97536
F09,Naylor Road,62,38.851187,-76.956565
F06,Anacostia,63,38.862072,-76.995648
A07,Tenleytown-AU,64,38.947808,-77.079615
N11,Loudoun Gateway,65,38.99204,-77.460685
C13,King St-Old Town,66,38.806474,-77.061115
B01,Gallery Pl-Chinatown,67,38.89834,-77.021851
N02,Tysons,68,38.920056,-77.223314
A11,Grosvenor-Strathmore,69,39.029158,-77.10415
F10,Suitland,70,38.843891,-76.932022
K03,Virginia Square-GMU,71,38.88331,-77.104267
B05,Brookland-CUA,72,38.933234,-76.994544
C15,Huntington,73,38.793841,-77.075301
G04,Morgan Boulevard,74,38.8913,-76.8682
D08,Stadium-Armory,75,38.88594,-76.977485
D04,Federal Center SW,76,38.884958,-77.01586
K05,East Falls Church,77,38.885841,-77.157177
N06,Wiehle-Reston East,78,38.947753,-77.340179
A01,Metro Center,79,38.898303,-77.028099
A06,Van Ness-UDC,80,38.94362,-77.063511
D09,Minnesota Ave,81,38.898284,-76.948042
D13,New Carrollton,82,38.947674,-76.872144
E06,Fort Totten,83,38.951777,-77.002174
E04,Columbia Heights,84,38.928672,-77.032775
C08,Pentagon City,85,38.863045,-77.059507
D07,Potomac Ave,86,38.880841,-76.985721
G01,Benning Road,87,38.890488,-76.938291
D11,Cheverly,88,38.91652,-76.915427
A15,Shady Grove,89,39.119819,-77.164921
C06,Arlington Cemetery,90,38.884574,-77.063108
E10,Greenbelt,91,39.011036,-76.911362
N01,McLean,92,38.924478,-77.210167
B04,Rhode Island Ave-Brentwood,93,38.920741,-76.995984
C11,Potomac Yard,94,38.83108,-77.04644
F02,Archives-Navy Memorial-Penn Quarter,95,38.893893,-77.021902
A03,Dupont Circle,96,38.909499,-77.04362
D02,Smithsonian,97,38.888022,-77.028232
G02,Capitol Heights,98,38.889757,-76.913382
F04,Waterfront,99,38.876221,-77.017491
C09,Crystal City,100,38.85779,-77.050589
B08,Silver Spring,101,38.993841,-77.031321
D03,L'Enfant Plaza,102,38.884775,-77.021964
