Dept,Arriv,ST_Peak,ST_Offpeak,RedST_Peak,RedST_Offpeak
College Park-u Of Md Metro Station,College Park-u Of Md Metro Station,0,0,0,0
College Park-u Of Md Metro Station,Capitol Heights Metro Station,4.95,3.85,2.45,2.45
College Park-u Of Md Metro Station,Morgan Boulevard Metro Station,5.4,3.85,2.7,2.7
College Park-u Of Md Metro Station,Georgia Ave-petworth Metro Station,3.3,2.6,1.65,1.65
College Park-u Of Md Metro Station,Takoma Metro Station,3.2,2.6,1.6,1.6
College Park-u Of Md Metro Station,Glenmont Metro Station,4.75,3.85,2.35,2.35
College Park-u Of Md Metro Station,Wheaton Metro Station,4.3,3.4,2.15,2.15
College Park-u Of Md Metro Station,Forest Glen Metro Station,3.95,3.25,1.95,1.95
College Park-u Of Md Metro Station,Silver Spring Metro Station,3.55,2.95,1.75,1.75
College Park-u Of Md Metro Station,Brookland-cua Metro Station,3.1,2.6,1.55,1.55
College Park-u Of Md Metro Station,Fort Totten Metro Station,2.85,2.45,1.4,1.4
College Park-u Of Md Metro Station,Prince George's Plaza Metro Station,2.25,2,1.1,1.1
College Park-u Of Md Metro Station,West Hyattsville Metro Station,2.25,2,1.1,1.1
College Park-u Of Md Metro Station,Benning Road Metro Station,4.7,3.85,2.35,2.35
College Park-u Of Md Metro Station,Addison Road-seat Pleasant Metro Station,5.15,3.85,2.55,2.55
College Park-u Of Md Metro Station,Deanwood Metro Station,4.6,3.75,2.3,2.3
College Park-u Of Md Metro Station,New Carrollton Metro Station,5.1,3.85,2.55,2.55
College Park-u Of Md Metro Station,Landover Metro Station,4.85,3.85,2.4,2.4
College Park-u Of Md Metro Station,Cheverly Metro Station,4.7,3.85,2.35,2.35
College Park-u Of Md Metro Station,Largo Town Center Metro Station,5.65,3.85,2.8,2.8
College Park-u Of Md Metro Station,Noma Metro,3.65,3.05,1.8,1.8
College Park-u Of Md Metro Station,Rosslyn Metro Station,4.75,3.85,2.35,2.35
College Park-u Of Md Metro Station,Arlington Cemetery Metro Station,4.9,3.85,2.45,2.45
College Park-u Of Md Metro Station,Dupont Circle Metro Station,4.3,3.4,2.15,2.15
College Park-u Of Md Metro Station,Pentagon Metro Station,4.9,3.85,2.45,2.45
College Park-u Of Md Metro Station,Crystal City Metro Station,5.15,3.85,2.55,2.55
College Park-u Of Md Metro Station,Navy Yard Metro Station,4.45,3.65,2.2,2.2
College Park-u Of Md Metro Station,Mcpherson Square Metro Station,4.2,3.4,2.1,2.1
College Park-u Of Md Metro Station,Shaw-howard U Metro,3.8,3.15,1.9,1.9
College Park-u Of Md Metro Station,Southern Ave Metro Station,5.2,3.85,2.6,2.6
College Park-u Of Md Metro Station,Greenbelt Metro Station,2.25,2,1.1,1.1
College Park-u Of Md Metro Station,Tenleytown-au Metro Station,4.9,3.85,2.45,2.45
College Park-u Of Md Metro Station,West Falls Church Metro Station,6,3.85,3,3
College Park-u Of Md Metro Station,Dunn Loring-merrifield Metro Station,6,3.85,3,3
College Park-u Of Md Metro Station,Vienna Metro Station,6,3.85,3,3
College Park-u Of Md Metro Station,Friendship Heights Metro Station,5.05,3.85,2.5,2.5
College Park-u Of Md Metro Station,Shady Grove Metro Station,6,3.85,3,3
College Park-u Of Md Metro Station,Rockville Metro Station,6,3.85,3,3
College Park-u Of Md Metro Station,Twinbrook Metro Station,6,3.85,3,3
College Park-u Of Md Metro Station,White Flint Metro Station,6,3.85,3,3
College Park-u Of Md Metro Station,Grosvenor-strathmore Metro Station,6,3.85,3,3
College Park-u Of Md Metro Station,Medical Center Metro Station,5.55,3.85,2.75,2.75
College Park-u Of Md Metro Station,Bethesda Metro Station,5.35,3.85,2.65,2.65
College Park-u Of Md Metro Station,Foggy Bottom-gwu Metro Station,4.4,3.6,2.2,2.2
College Park-u Of Md Metro Station,Court House Metro Station,5.05,3.85,2.5,2.5
College Park-u Of Md Metro Station,Clarendon Metro Station,5.2,3.85,2.6,2.6
College Park-u Of Md Metro Station,East Falls Church Metro Station,6,3.85,3,3
College Park-u Of Md Metro Station,Virginia Square-gmu Metro Station,5.35,3.85,2.65,2.65
College Park-u Of Md Metro Station,Ballston-mu Metro Station,5.5,3.85,2.75,2.75
College Park-u Of Md Metro Station,Farragut West Metro Station,4.25,3.4,2.1,2.1
College Park-u Of Md Metro Station,Farragut North Metro Station,4.25,3.4,2.1,2.1
College Park-u Of Md Metro Station,Woodley Park-zoo Metro,4.45,3.65,2.2,2.2
College Park-u Of Md Metro Station,L'enfant Plaza Metro Station,4.25,3.4,2.1,2.1
College Park-u Of Md Metro Station,Smithsonian Metro Station,4.3,3.4,2.15,2.15
College Park-u Of Md Metro Station,Pentagon City Metro Station,5.05,3.85,2.5,2.5
College Park-u Of Md Metro Station,Federal Triangle Metro Station,4.2,3.4,2.1,2.1
College Park-u Of Md Metro Station,Archives-navy Memorial Metro Station,4.1,3.4,2.05,2.05
College Park-u Of Md Metro Station,Waterfront Metro Station,4.45,3.65,2.2,2.2
College Park-u Of Md Metro Station,National Airport Metro Station,5.2,3.85,2.6,2.6
College Park-u Of Md Metro Station,Van Dorn Street Metro Station,6,3.85,3,3
College Park-u Of Md Metro Station,Franconia-springfield Metro Station,6,3.85,3,3
College Park-u Of Md Metro Station,Federal Center Sw Metro Station,4.3,3.4,2.15,2.15
College Park-u Of Md Metro Station,Judiciary Square Metro Station,4,3.3,2,2
College Park-u Of Md Metro Station,Capitol South Metro Station,4.3,3.4,2.15,2.15
College Park-u Of Md Metro Station,Metro Center,4.05,3.35,2,2
College Park-u Of Md Metro Station,Gallery Pl-chinatown Metro Station,4.05,3.35,2,2
College Park-u Of Md Metro Station,Mount Vernon Square Metro Station,3.9,3.25,1.95,1.95
College Park-u Of Md Metro Station,U Street Metro Station,3.7,3.1,1.85,1.85
College Park-u Of Md Metro Station,Union Station Metro Station,3.85,3.2,1.9,1.9
College Park-u Of Md Metro Station,Congress Heights Metro Station,5.05,3.85,2.5,2.5
College Park-u Of Md Metro Station,Naylor Road Metro Station,5.25,3.85,2.6,2.6
College Park-u Of Md Metro Station,Suitland Metro Station,5.5,3.85,2.75,2.75
College Park-u Of Md Metro Station,Branch Ave Metro Station,5.95,3.85,2.95,2.95
College Park-u Of Md Metro Station,Braddock Road Metro Station,6,3.85,3,3
College Park-u Of Md Metro Station,King Street Metro Station,6,3.85,3,3
College Park-u Of Md Metro Station,Eisenhower Avenue Metro Station,6,3.85,3,3
